date;Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private;Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing;Average Hourly Earnings of Production and Nonsupervisory Employees, Private Service-Providing;Average Weekly Hours of All Employees, Total Private;Average Weekly Hours of All Employees, Goods-Producing;Average Weekly Hours of All Employees, Private Service-Providing;All Employees, Total Nonfarm;All Employees, Total Private;All Employees, Goods-Producing;All Employees, Private Service-Providing;All Employees, Government
2012-08-01;19,74;20,94;19,49;34,4;40,1;33,3;134329;112413;18458;93955;21916
2012-09-01;19,79;20,96;19,54;34,4;40,2;33,3;134512;112587;18461;94126;21925
2012-10-01;19,79;20,98;19,54;34,3;40,2;33,2;134672;112769;18472;94297;21903
2012-11-01;19,85;21,03;19,6;34,4;40,2;33,3;134831;112948;18477;94471;21883
2012-12-01;19,91;21,06;19,67;34,4;40,3;33,3;135074;113187;18532;94655;21887
2013-01-01;19,94;21,1;19,69;34,4;40,2;33,2;135263;113394;18581;94813;21869
2013-02-01;19,99;21,15;19,74;34,5;40,4;33,3;135548;113667;18638;95029;21881
2013-03-01;20,0;21,14;19,76;34,5;40,4;33,4;135690;113820;18660;95160;21870
2013-04-01;20,04;21,2;19,79;34,4;40,3;33,3;135876;114007;18653;95354;21869
2013-05-01;20,05;21,21;19,8;34,5;40,3;33,3;136090;114226;18691;95535;21864
2013-06-01;20,12;21,23;19,89;34,5;40,4;33,3;136269;114429;18723;95706;21840
2013-07-01;20,14;21,22;19,91;34,4;40,2;33,2;136391;114576;18705;95871;21815
2013-08-01;20,18;21,24;19,95;34,5;40,4;33,3;136634;114803;18755;96048;21831
2013-09-01;20,23;21,25;20,02;34,4;40,4;33,3;136819;114984;18810;96174;21835
2013-10-01;20,25;21,29;20,03;34,4;40,3;33,2;137039;115209;18856;96353;21830
2013-11-01;20,31;21,34;20,08;34,4;40,5;33,2;137312;115469;18910;96559;21843
2013-12-01;20,35;21,39;20,13;34,3;40,4;33,2;137367;115547;18881;96666;21820
2014-01-01;20,39;21,41;20,17;34,4;40,2;33,2;137551;115737;18937;96800;21814
2014-02-01;20,51;21,52;20,3;34,3;40,2;33,1;137710;115885;18988;96897;21825
2014-03-01;20,5;21,49;20,28;34,5;40,6;33,3;137987;116154;19037;97117;21833
2014-04-01;20,51;21,51;20,3;34,5;40,4;33,3;138298;116445;19103;97342;21853
2014-05-01;20,54;21,54;20,32;34,5;40,6;33,3;138500;116668;19141;97527;21832
2014-06-01;20,59;21,55;20,39;34,5;40,6;33,3;138833;116938;19194;97744;21895
2014-07-01;20,61;21,61;20,4;34,5;40,5;33,3;139076;117175;19264;97911;21901
2014-08-01;20,66;21,65;20,45;34,6;40,5;33,4;139257;117402;19316;98086;21855
2014-09-01;20,67;21,67;20,45;34,5;40,5;33,3;139564;117667;19371;98296;21897
2014-10-01;20,7;21,68;20,49;34,5;40,5;33,4;139804;117887;19419;98468;21917
2014-11-01;20,77;21,68;20,57;34,6;40,6;33,4;140088;118156;19456;98700;21932
2014-12-01;20,71;21,68;20,51;34,6;40,6;33,4;140366;118419;19481;98938;21947
2015-01-01;20,8;21,73;20,6;34,5;40,5;33,4;140562;118602;19499;99103;21960
2015-02-01;20,84;21,69;20,65;34,6;40,6;33,4;140831;118853;19537;99316;21978
2015-03-01;20,91;21,83;20,71;34,5;40,4;33,3;140925;118955;19505;99450;21970
2015-04-01;20,92;21,87;20,72;34,5;40,3;33,3;141202;119197;19553;99644;22005
2015-05-01;20,98;21,92;20,78;34,5;40,3;33,4;141539;119527;19581;99946;22012
2015-06-01;21,0;21,98;20,8;34,5;40,3;33,4;141695;119680;19592;100088;22015
2015-07-01;21,03;21,97;20,83;34,5;40,4;33,4;141989;119939;19627;100312;22050
2015-08-01;21,1;22,02;20,91;34,6;40,5;33,4;142130;120070;19629;100441;22060
2015-09-01;21,09;21,99;20,9;34,5;40,2;33,4;142265;120225;19641;100584;22040
2015-10-01;21,19;22,13;20,99;34,5;40,4;33,4;142584;120528;19680;100848;22056
2015-11-01;21,21;22,14;21,02;34,5;40,3;33,4;142810;120729;19711;101018;22081
2015-12-01;21,23;22,21;21,03;34,5;40,4;33,4;143083;120986;19738;101248;22097
2016-01-01;21,31;22,22;21,11;34,6;40,4;33,4;143196;121082;19746;101336;22114
2016-02-01;21,33;22,2;21,14;34,4;40,2;33,3;143411;121273;19716;101557;22138
2016-03-01;21,39;22,36;21,18;34,4;40,1;33,3;143666;121488;19711;101777;22178
