date;Industrial Production: Total Index;Industrial Production: Manufacturing;Industrial Production: Mining: Mining;Industrial Production: Utilities: Electric and Gas Utilities;Capacity Utilization: Total Index;Capacity Utilization: Manufacturing;Capacity Utilization: Mining;Capacity Utilization: Utilities: Electric and Gas Utilities
1989-01-01;62,1789;62,6793;86,1913;66,7151;85,208;85,5717;84,4917;82,7924
1989-02-01;61,9074;62,0775;84,6121;70,0663;84,7168;84,6159;83,1384;86,7222
1989-03-01;62,0592;62,0159;85,2706;71,9268;84,7889;84,3794;83,9717;88,7891
1989-04-01;62,0424;62,1043;86,9972;69,9656;84,6158;84,3298;85,8524;86,1388
1989-05-01;61,6948;61,6284;87,2832;70,299;83,9786;83,4995;86,2999;86,3189
1989-06-01;61,6915;61,7136;86,1498;70,1298;83,7983;83,4168;85,324;85,8819
1989-07-01;61,0978;60,982;85,6869;70,4976;82,8088;82,223;84,9872;86,1049
1989-08-01;61,6949;61,5541;86,5184;71,4063;83,4265;82,7805;85,9146;86,9872
1989-09-01;61,4839;61,4015;86,5007;70,4654;82,9458;82,3573;85,9805;85,6226
1989-10-01;61,4105;61,2571;85,8173;71,3786;82,6489;81,9434;85,3692;86,5179
1989-11-01;61,6172;61,3927;86,4648;72,0509;82,7278;81,9033;86,0698;87,1253
1989-12-01;61,9635;61,4102;84,0685;77,2369;82,9946;81,7071;83,7296;93,1859
1990-01-01;61,644;61,3843;88,0757;71,4079;82,3733;81,4572;87,7602;85,9707
1990-02-01;62,2108;62,2216;87,3213;70,5114;82,9404;82,355;87,0439;84,7256
1990-03-01;62,5068;62,5248;86,6118;71,4928;83,1505;82,5485;86,3677;85,7512
1990-04-01;62,3597;62,2699;86,9565;71,9802;82,7796;82,0143;86,7392;86,1968
1990-05-01;62,5474;62,4634;86,8539;72,3786;82,8617;82,0801;86,6611;86,551
1990-06-01;62,7541;62,6543;86,6043;73,1175;82,9777;82,1517;86,4336;87,3281
1990-07-01;62,6497;62,5136;87,1683;72,8753;82,6936;81,8009;87,0133;86,9526
1990-08-01;62,8761;62,741;86,8017;73,5786;82,8569;81,9438;86,6573;87,7228
1990-09-01;62,896;62,6393;87,2883;74,4486;82,7583;81,6691;87,1488;88,7037
1990-10-01;62,506;62,2258;88,1525;73,3181;82,1312;81,0007;88,0132;87,3112
1990-11-01;61,7271;61,4822;87,5472;71,7946;81,0047;79,9166;87,4084;85,4585
1990-12-01;61,2939;60,9998;86,1438;72,281;80,3427;79,1848;86,0058;86,0024
1991-01-01;61,0931;60,6226;86,1373;73,5403;79,9936;78,6003;85,998;87,4665
1991-02-01;60,6522;60,1949;87,513;71,6667;79,3375;77,9592;87,3778;85,1983
1991-03-01;60,3069;59,7339;86,5919;72,6395;78,8116;77,282;86,4695;86,3086
1991-04-01;60,4658;59,9935;85,7199;72,5629;78,9476;77,5412;85,616;86,1649
1991-05-01;61,0671;60,4037;85,4561;75,7286;79,6602;77,9946;85,381;89,8564
1991-06-01;61,5611;60,9627;85,6272;76,0057;80,229;78,6368;85,5955;90,1013
1991-07-01;61,723;61,2793;84,7455;75,4154;80,3605;78,9618;84,7734;89,3008
1991-08-01;61,736;61,3614;84,6128;74,8761;80,2919;78,9774;84,7174;88,5444
1991-09-01;62,2464;61,986;84,7155;74,75;80,8617;79,6815;84,915;88,2634
1991-10-01;62,1825;61,9254;84,592;74,6676;80,6759;79,4934;84,902;88,0227
1991-11-01;62,0983;61,7916;83,902;75,3856;80,4548;79,2006;84,3343;88,7163
1991-12-01;61,8108;61,6283;84,3126;73,3921;79,962;78,8597;84,8844;86,2168
1992-01-01;61,4898;61,2902;84,1097;73,0419;79,3991;78,263;84,8276;85,6499
1992-02-01;61,9299;61,8351;83,0833;73,5135;79,8149;78,7873;83,9468;86,05
1992-03-01;62,449;62,4702;83,3713;73,2491;80,3214;79,4125;84,3973;85,5921
1992-04-01;62,9312;62,8148;84,3179;74,9549;80,7713;79,657;85,5185;87,4403
1992-05-01;63,1359;63,1828;84,1161;73,9015;80,8582;79,9219;85,4743;86,0786
1992-06-01;63,1736;63,3946;83,2122;72,8227;80,7276;79,9828;84,7099;84,7039
1992-07-01;63,7408;63,9629;84,3223;73,2703;81,2728;80,4907;85,9862;85,122
1992-08-01;63,3917;63,6501;82,9273;73,0437;80,6532;79,8926;84,6956;84,7729
1992-09-01;63,5927;63,7446;83,4783;74,139;80,7402;79,8125;85,3788;85,9726
1992-10-01;64,0282;64,1136;83,8928;75,3829;81,1307;80,0829;85,9097;87,3562
1992-11-01;64,2732;64,3456;83,8067;76,0306;81,2864;80,1896;85,9137;88,0594
1992-12-01;64,3668;64,3104;84,0648;77,2963;81,2604;79,9749;86,2546;89,4879
1993-01-01;64,6256;64,9203;83,6424;74,6828;81,447;80,5752;85,8807;86,3581
1993-02-01;64,929;65,0936;83,263;76,7243;81,698;80,6422;85,5372;88,624
1993-03-01;64,872;64,9763;82,7215;77,4948;81,502;80,3587;85,0105;89,4154
1993-04-01;65,0611;65,2909;82,8333;76,6054;81,6217;80,6174;85,1385;88,2987
1993-05-01;64,8104;65,2077;82,8655;74,5174;81,1916;80,3881;85,1703;85,8018
1993-06-01;64,9553;65,1344;83,6721;76,4102;81,2566;80,1718;85,9848;87,8898
1993-07-01;65,1198;65,2696;82,7809;77,5031;81,3428;80,2108;85,042;89,0482
1993-08-01;65,0494;65,1299;82,8531;77,9857;81,1291;79,9061;85,0786;89,4991
1993-09-01;65,3882;65,5889;83,5584;77,1082;81,4164;80,3264;85,7565;88,3857
